NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,148,103,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,224,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,184,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,515,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,193,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,459,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,525,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,201,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,127,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,444,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,148,62,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,177,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,32,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,126,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,124,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,148,135,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,164,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,148,113,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,110,51,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,240,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,28,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,29,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,61,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,110,508,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,64,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,443,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,489,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,420,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,23,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,149,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,394,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,145,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,192,DEPUTADO FEDERAL,MARCOS TAVARES,8
